,0,1
0,1.5356158,2.114722
1,-0.35041863,-0.16147403
2,4.0026937,5.750769
3,3.8233573,6.930605
4,-0.009828471,-0.22173148
5,-0.22206955,-0.3237907
6,-0.43270057,-0.2748493
7,-0.26111305,-0.2093286
8,-0.06948079,-0.14332946
9,-0.30589893,-0.26606333
10,2.466971,4.496115
11,-0.21606828,-0.20121595
12,10.847702,14.610281
13,5.444414,6.9655447
14,31.391098,31.706879
15,0.10780739,0.509172
16,-0.020743292,-0.1220889
17,-0.2007414,-0.18742403
18,-0.42115065,-0.2927983
19,6.1037006,6.280445
20,-0.36914015,-0.28514665
21,4.190868,6.284073
22,-0.21585847,-0.2831764
23,-0.21047483,-0.116772875
24,0.08096037,0.34257445
25,-0.36621508,-0.39204094
26,-0.12820596,0.18125609
27,0.14770381,0.13404767
28,-0.012238149,-0.08470366
29,-0.06964224,-0.15006378
30,4.4661837,6.425867
31,0.5709009,0.9813226
32,6.3503942,9.137655
33,0.23136033,1.2997718
34,-0.017365605,-0.12836938
35,0.10612078,-0.06638283
36,40.13366,32.809845
37,-0.2955725,-0.15062396
38,-0.0719984,-0.1106519
39,12.149413,13.321466
40,0.024874667,0.017879698
41,-0.13395444,-0.032845736
42,-0.13668647,-0.006011914
43,-0.009724462,-0.2054141
44,0.070500836,0.110566735
45,0.007968568,0.4520655
46,-0.041421346,0.14331958
47,3.846419,6.05385
48,1.8419465,1.9132502
49,0.13961524,-0.14089356
50,-0.3453761,-0.3254213
51,-0.28089213,-0.22029926
52,-0.38641182,-0.25612777
53,1.2495633,1.8917863
54,0.34268326,0.37716588
55,3.4035058,3.645467
56,1.7475339,2.086894
57,-0.3949373,-0.41653234
58,0.79765975,1.0036215
59,-0.4669181,-0.30286875
60,9.999775,12.234073
61,-0.4405781,-0.20901997
62,-0.32693273,-0.3255733
63,0.4417528,0.7392658
64,-0.73561794,-0.43216857
65,-0.07716064,-0.13249296
66,-0.023548488,-0.08993156
67,0.044218455,-0.10422193
68,0.04394193,0.002822916
69,-0.15870291,-0.22265132
70,-0.2814655,-0.15418059
71,3.7204742,5.375378
72,-0.21842462,-0.27741328
73,-0.3713438,0.014762656
74,19.602972,20.416895
75,-0.026049864,-0.025686102
76,-0.25969777,-0.2649758
77,-0.17875245,-0.15813327
78,-0.110532194,-0.18588194
79,0.029994274,-0.08301955
80,0.23774873,-0.08184923
81,0.15679394,0.17634146
82,0.17720029,0.26633
83,-0.40218294,-0.23917279
84,0.751597,1.1890134
85,-0.12299858,0.15383318
86,-0.27418563,-0.26353645
87,-0.024546469,-0.07787621
88,-0.32080102,-0.25099942
89,0.03899573,0.06674012
90,-0.3412841,-0.20618373
91,-0.16800247,0.1941228
92,0.10957768,-0.17419945
93,0.06460822,-0.18003428
94,0.8463025,1.2306609
95,1.274589,1.4968233
96,-0.1897438,-0.06692696
97,-0.21699348,0.24273989
98,-0.4445563,-0.2506062
99,-0.44343218,-0.24058858
100,-0.32874528,-0.1567956
101,1.1413803,1.6671759
102,8.860658,13.074387
103,4.615664,5.2119617
104,25.753323,30.348186
105,-0.35125232,-0.3208756
106,0.0183216,-0.1130589
107,0.055578925,0.4113948
108,-0.3672598,-0.15023255
109,1.5680639,2.188404
110,-0.3066238,-0.25244877
111,22.127481,17.04979
112,-0.017145813,-0.11394592
113,-0.35886312,-0.4262139
114,-0.076726414,-0.32349563
115,1.2370952,1.8120927
116,-0.4631142,-0.106007025
117,-0.010441104,0.028486775
118,28.994024,28.596737
119,-0.3690467,-0.32772124
120,1.7765139,2.1466644
121,0.18574646,0.55199
122,-0.15115471,0.16715126
123,11.541867,12.003953
124,-0.22622918,0.11022242
125,4.9439454,6.1418724
126,-0.35250095,-0.25359517
127,0.87631476,1.6507407
128,-0.11313633,-0.07217484
129,-0.2379898,-0.2741824
130,0.2697134,-0.043274052
131,3.666111,4.355412
132,-0.41003335,-0.17597313
133,1.9236875,3.269739
134,-0.33011165,0.0298305
135,-0.29234642,-0.24371275
136,-0.42625597,-0.32031792
137,-0.6524738,-0.1562761
138,-0.09577655,-0.15149386
139,25.85527,23.565624
140,-0.1804826,-0.16061413
141,-0.31045336,-0.17136107
142,-0.1099936,-0.1791676
143,-0.085302204,-0.21210061
144,1.5493116,1.6924226
145,-0.15050979,-0.30689922
146,0.7412828,1.1213069
147,1.3668386,2.110162
148,1.041776,0.9286704
149,-0.42968702,-0.20178363
150,-0.30018845,-0.07270576
151,6.035785,6.5540266
152,2.123605,3.28679
153,12.803808,14.1110935
154,1.6691623,2.467572
155,6.2785797,6.400541
156,-0.17340574,-0.080430575
157,31.069796,35.201233
158,-0.15587738,-0.09094738
159,9.052123,11.886649
160,-0.05878986,-0.09045642
161,-0.21057439,-0.399891
162,-0.054838613,0.0029331686
163,-0.21702969,-0.07767569
164,-0.11638039,-0.17188059
165,-0.35883832,-0.32362014
166,-0.32158637,-0.12863126
167,0.06378471,-0.20656802
168,-0.4429494,-0.36681736
169,-0.44542065,-0.20653197
170,-0.41983458,-0.33598626
171,-0.040414624,0.030207641
172,-0.5031139,-0.17260918
173,-0.09780088,-0.11555974
174,-0.24456088,-0.24166934
175,28.270866,28.548851
176,-0.47021285,-0.30435914
